CD_GEOCODM,LONG,LAT,ALT
1303700,-67.946485143,-3.1074863091,67.35
1303809,-67.083642896,-0.13646278811,61.51
1303908,-68.944853488,-3.4665096234,86.62
1303957,-57.870346355,-2.5701525796,16.93
1304005,-58.21480086,-2.8364274296,64.01
1304062,-69.946244375,-4.2318836756,0
1304104,-63.187094867,-5.6242235177,50.65
1304203,-64.708419663,-3.3483724939,46.58
1304237,-67.77648228,-2.8610912498,66.1
1304260,-65.15534564,-2.983609242,42.58
1304302,-57.759828174,-2.5366116718,17.7
1304401,-58.159641041,-3.134633115,23
1400027,-61.420590172,3.652118445,107.71
1400050,-61.31402239,2.9938229476,121.74
1400100,-60.670532672,2.8166819191,79.82
1400159,-59.878006628,3.3502886191,86.64
1400175,-60.602062847,2.6076663984,82
1400209,-61.1491768,1.8038712472,49.58
1400233,-59.694810073,0.87267450718,128.83
1400282,-61.052258585,2.1682147652,80.64
1400308,-60.91151853,2.479772235,69.62
1400407,-59.635206283,3.8829782853,102.78
1400456,-61.147306347,4.4752593402,912.12
1400472,-60.425060493,0.93719539359,83.79
1400506,-59.906044345,0.94715742746,121.24
1400605,-60.028266774,1.0181116273,116.34
1400704,-60.19571614,4.5854403875,605.79
1500107,-48.88440382,-1.7234698628,10.12
1500131,-48.396762125,-4.951390895,192.75
1500206,-48.200456431,-1963,7.39
1500305,-50.391427589,-0.15917169377,3.13
1500347,-50.485274507,-6.8049488674,296.29
1500404,-54.74086235,-1.95139,39.13
1500503,-52.576835086,-1.5273388027,18.72
1500602,-52.214376305,-3.2056,104.74
1500701,-49.94500104,-0.984451394,5
1500800,-48.37206665,-1.3687135682,26.56
1500859,-51.201621798,-3.476104635,56.3
1500909,-46.641645785,-1.0229,15.98
1500958,-47.556174603,-2.1293760131,41.36
1501006,-55.330734389,-3.6055952592,15.45
1501105,-50.22198692,-1.8898080603,1.6
1501204,-49.672753373,-2.7919618613,30.56
1501253,-50.406047121,-7.351072192,401
1501303,-48.627072892,-1.50576,7.07
1501402,-48.487825687,-1.45,8.47
1501451,-54.942674739,-2.6490201694,167.56
1501501,-48.24183645,-1.36143,31.6
1501576,-48.599039959,-5.0473627043,172.27
1501600,-47.305891816,-1.3674743568,54.76
1501709,-46.76575421,-1.0535239562,16.04
1501725,-52.543441192,-3.297803704,189.05
1501758,-48.405760422,-5.7072961538,221.29
1501782,-49.569879683,-3.7781354128,95.47
1501808,-50.480894799,-1.69,9.9
1501907,-48.03587501,-1.5139914623,17.01
1501956,-46.547391416,-1.7528970049,48.72
1502004,-48.960667577,-1.0087862656,9.56
1502103,-49.49783016,-2.2468,11.22
1502152,-49.848958431,-6.532196615,295.75
1502202,-47.175126123,-1.19244,27.27
1502301,-47.062825377,-1.7461872932,64.78
1502400,-47.926643141,-1.295756805,46.79
1502509,-49.989318605,-0.16243729012,11.58
1502608,-48.288728431,-0.93209124395,12
1502707,-49.264500812,-8.2648,180.16
1502756,-47.949886939,-1.9845214627,49.26
1502764,-50.771578377,-7.8111065368,311.59
1502772,-49.602214224,-6.0968199522,210.95
1502806,-49.791522847,-1.8094234196,2.48
1502855,-55.119678608,-1.8899287043,23.28
1502905,-47.851265085,-0.7324,16.08
1502939,-47.555914885,-4.2907,261.07
1502954,-49.373951942,-6.103525161,138.74
1503002,-56.74575301,-2.1729752419,19.03
1503044,-49.697578412,-7.5587008723,187.62
1503077,-47.045046017,-1.9316970431,45.81
1503093,-49.101044923,-3.84,82.58
1503101,-51.643695723,-1.4,16.39
1503200,-47.622375492,-1.12,42.53
1503309,-48.962299468,-1.98,9.28
1503408,-47.913392746,-1.4265819809,3.92
1503457,-47.499717588,-2557,46.11
1503507,-47.440755612,-1.77147,17.25
1503606,-55.990048857,-4.2637,25.05
1503705,-49.324425861,-5.1288370263,88.56
1503754,-57.766339858,-6.2235517313,91.91
1503804,-49.112781562,-4.4484,117.08
1503903,-56.094997688,-2.15525,25.61
1504000,-49.381533901,-1891,7.66
1504059,-47.552290179,-2.0477074407,41.37
1504109,-47.599181896,-0.79585015602,22.99
1504208,-49.142025333,-5.3526057631,83.61
1504307,-47.455267959,-0.76241945998,21.23
1504406,-47.702548753,-0.71215099634,10.01
1504422,-48.34053587,-1.346417265,14.16
1504455,-52.88834535,-3.4454174121,128.52
1504505,-50.717464697,-1.80344669,8.89
1504604,-49.509023461,-2.5828729732,14.51
1504703,-48.767199127,-1.88,14.42
1504802,-54.07337472,-2,67.36
1504901,-49.216832442,-1.530026208,6.2
1504950,-46.962092883,-2.267625989,72.1
1504976,-49.079886938,-4.923086307,112.8
1505007,-47.393202276,-1.2041436474,47.71
1505031,-55.419870117,-7.0348359132,224.2
1505064,-49.948638244,-4248,95.01
1505106,-55.516323509,-1.9092354958,29.79
1505205,-49.855106108,-2,7.08
1505304,-55.862799515,-1763,43.48
1505403,-47.117619362,-1.5489471423,15.4
1505437,-51.090832774,-6.7406170863,322.44
1505486,-50.63484083,-3.830305703,0
1505494,-48.321793726,-5.7499341062,123.14
1505502,-47.356961561,-2994,88.34
1505536,-49.90078063,-6.0727298876,155.33
1505551,-50.048275531,-7.8367944039,191.07
1505601,-47.317927021,-1.1895692407,24.52
1505635,-48.868400667,-6.4536762345,191.92
1505650,-54.216968131,-3.8673155621,107.33
1505700,-48.87178556,-1.396599997,4.19
1505809,-50.82249044,-1.93,10.98
1505908,-52.242476919,-1.7460900888,12.67
1506005,-53.48181394,-1805,11.99
1506104,-47.117251258,-0.94011151593,19.89
1506112,-47.00678699,-0.90011585373,13.51
1506138,-50.029641825,-8027,223.68
1506161,-50.046410877,-7.3111152446,199.64
1506187,-48.069973749,-4.777821727,192.54
1506195,-54.905862259,-4099,144.18
1506203,-47.353120263,-0.62,27.14
1506302,-48.513186599,-0.75452597435,15.6
1506351,-48.297740649,-1.2294394669,12.72
1506401,-49.171615566,-0.65997412559,4.6
1506500,-48.16305994,-1.2973959012,29.2
1506559,-46.906169202,-1.5188278913,80.13
1506583,-49.719351857,-8.8705505396,0
1506609,-47.574695413,-1.347866459,54.94
1506708,-50.34480432,-9.32942,177.69
1506807,-54.718570167,-2.4362133299,52.69
1506906,-47.40092474,-0.92871953578,16.29
1507003,-48.132433074,-1151,23.94
1507102,-48.025805498,-0.74661775999,14.2
1507151,-48.72037341,-5.54,141.56
1507201,-47.774784569,-1675,8.95
1507300,-51.993782523,-6.6424832783,192.41
1507409,-47.79051461,-1.1701887846,34.84
1507458,-48.555712486,-6.3989,127.32
1507466,-47.920724165,-0.85100214526,16.3
1507474,-47.172674297,-0.76644253151,18.18
1507508,-48.788633402,-5.3590027244,100.55
1507607,-47.482408944,-1.6171359144,12.14
1507706,-49.532312174,-1718,6.68
1507755,-49.703580711,-6.9428571125,199.91
1507805,-51.953056418,-2.5948504183,0
1507904,-48.516012662,-725,15.88
1507953,-48.951281629,-2937,52.19
1507961,-47.907808348,-1.0348266636,35.41
1507979,-56.490904772,-2.1081144737,20.19
1508001,-48.14689658,-2.4193668552,15.2
1508035,-46.899478337,-1.0687840585,32.91
1508050,-55.996170034,-4.6998191496,126.4
1508084,-51.139539246,-6.7499720073,298.98
1508100,-49.667184367,-3.7668890843,32.47
1508126,-47.503144754,-3.7571,123.9
1508159,-53.73703105,-3706,162.21
1508209,-48.141498585,-0.85553257366,7.54
1508308,-46.138765216,-1.2032785266,7.61
1508357,-52.011260353,-2.88376571,16.54
1508407,-49.942700584,-7.1015128271,236.84
1600055,-52.003538435,0.89784104097,139.97
1600105,-50.79321447,2.0539212446,11.9
1600154,-51.946594273,0.77688286056,73.57
1600204,-50.944772734,2.4965590445,8.6
1600212,-50.801626029,0.9710780554,7.89
1600238,-51.187429046,0.85397739314,39
1600253,-50.700179437,0.6006532883,0
1600279,-52.539020736,-855,8.68
1600303,-51.05740545,0.0389,14.5
1600402,-51.286076856,-0.12439632882,7.21
1600501,-51.830552555,3.8511307325,0
1600535,-51.414448822,0.71255470182,70.03
1600550,-50.784253721,1.742508487,10.7
1600600,-51.172846465,-3.83734790956603,17.13
1600709,-50.912786152,1.5098482403,18.4
1600808,-52.419614779,-0.91897708854,3.07
1700251,-49.162437555,-9.6217907119,238.86
1700301,-47.47045658,-6.54717082,173.19
1700350,-48.941240022,-11.303743046,335.7
1700400,-47.174171684,-11.574523469,420.74
1700707,-49.1268114,-12.47881532,302.2
1701002,-48.079764606,-6.3628181541,192.71
1701051,-47.862077839,-6.387752749,270.83
1701101,-47.976670011,-9.955877714,267.07
1701309,-48.523430192,-7.164349271,302.73
1701903,-49.561812639,-8.8018025441,0
1702000,-49.828612443,-12.925583711,315.16
1702109,-48.208705251,-7.1913289396,235.27
1702158,-48.643749546,-6.58224942,139.45
1702208,-48.123507343,-5.6505864729,116.26
1702307,-49.075637385,-7.6525697354,209.44
1702406,-46.946107058,-12.934419859,722.4
1702554,-47.880956791,-5.4654142958,147.77
1702703,-46.40708298,-12.708489861,481
1702901,-47.774156032,-5.6243090659,217.83
1703008,-47.758816127,-7.201864532,161.38
1703057,-48.578380604,-7.7648591412,290.99
1703073,-47.687134969,-7.6917665986,163.37
1703107,-48.73146059,-9.8316533645,346.96
1703206,-48.899054346,-7.8685124833,163.73
1703305,-48.166380493,-8.9633480128,188.01
1703602,-48.48537441,-8.384889351,217.73
1703701,-48.558660228,-11.010805056,222.77
1703800,-48.22325012,-5.3135388563,155.46
1703826,-47.91419777,-6.1132416465,200.4
1703842,-46.801974346,-7.9716813941,297.38
1703867,-49.171040728,-11.888997463,291.1
1703883,-48.39595993,-7.0314787778,300.4
1703891,-48.030633426,-5.3226613548,116
1703909,-49.948692267,-9.2674062189,175.79
1704105,-47.338398514,-8.958463639,311.05
1704600,-49.183107858,-10.141988583,273.82
1705102,-47.753904891,-11.624267831,354.77
1705508,-48.481594543,-8.0546246754,233.5
1705557,-46.55207234,-12.818607672,428.16
1705607,-47.29286881,-12.217277766,408.83
1706001,-49.17657157,-8.3551183696,194.72
1706100,-49.186300291,-10.590724637,274.33
1706258,-48.915513825,-11.104274293,239.51
1706506,-47.75216111,-6.7123510014,287.16
1707009,-46.820409066,-11.62523187,689.2
1707108,-49.205413187,-9.7953011402,262.82
1707207,-49.067338644,-9.2612967097,256.68
1707306,-49.265875916,-11.341285416,232.09
1707405,-48.5441476,-5.3666080594,99.86
1707553,-48.898982658,-10.752508728,329.77
1707652,-49.17384673,-12.136779983,294.46
1707702,-47.48496414,-7.337611905,157.96
1708205,-49.526860362,-11.805141968,268.53
1708254,-48.517426421,-9.0589653011,225.86
1708304,-48.936890192,-8.7705208048,262.43
1709005,-47.315435489,-7.70917239,188.05
1709302,-48.508640606,-8.8361656575,257.32
1709500,-49.071477468,-11.7297723,300.35
1709807,-48.451926228,-11.246288621,226.59
1710508,-47.7681124,-8.3909805523,196.48
1710706,-47.479935948,-5.7753850884,156.7
1710904,-48.111199609,-8.3843295934,179.51
1711100,-48.693263703,-8.5688286115,339.24
1711506,-48.594608292,-12.652926369,350.58
1711803,-49.098643185,-8.1174239676,200.29
1711902,-49.62008533,-10.788695557,188.2
1711951,-47.56144663,-10.296886696,315.98
1712009,-48.35850395,-9.7446824357,195.58
1712157,-46.506675715,-12.791658787,403
1712405,-46.675165455,-9.5945702878,415.98
1712454,-47.85682804,-6.1939896602,201.75
1712504,-49.651033994,-9.7988803593,198.48
1712702,-46.41246574,-10.544428846,520.97
1712801,-47.50487996,-5.9525664212,151.01
1713205,-48.387991311,-9.5683460776,190.42
1713304,-48.592631936,-9.517404731,225.6
1713601,-48.110420029,-10.763542194,305.37
1713700,-48.990890603,-10.00559143,295.55
1713809,-47.558683526,-6.6118623345,176
1713957,-48.606745277,-7.1385192851,182.75
1714203,-47.727257533,-11.705357382,335.69
1714302,-47.666977182,-6.3725579692,210
1714880,-48.42480679,-7.63331491,252.49
1715002,-48.906180724,-10.566871139,262.59
1715101,-47.668148392,-9.9684864657,226.03
1715150,-46.577297353,-12.909938674,514.28
1715259,-46.630787295,-11.81587505,640.88
1715507,-48.907401568,-10.708362709,304.02
1715705,-47.934249708,-7.8575613761,167.74
1715754,-48.413413955,-13.039888433,454.7
1716109,-48.886630084,-10.171220754,398.57
1716208,-47.884083728,-12.620481488,270.01
1716307,-49.363306481,-7.5399983556,161.93
1716505,-48.177556112,-8.9644495924,181.95
1716604,-48.53781062,-12.02977383,246.03
1716653,-48.935179866,-8.5933406544,292.58
1716703,-48.757066585,-8.7293718068,386.43
1717008,-47.575687717,-11.138202584,437.14
1717206,-48.293707391,-6.7697770334,194.96
1717503,-49.166658011,-10.440931117,268.4
1717800,-46.469586792,-12.087812908,518.67
1717909,-47.541180358,-10.740672848,315.88
1718006,-47.0474256,-11.607259099,382.41
1718204,-48.412153458,-10.70856,234.02
1718303,-47.814731733,-5.3967128773,128.75
1718402,-48.50433067,-8.5299608276,275.44
1718451,-48.894220448,-10.424307156,296.1
1718501,-47.238041195,-8.7353604538,334.13
1718550,-48.1410455,-6.4422113876,158.57
1718659,-46.880399704,-11.40494002,518.96
